id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
303692,200yr Duplex Apartment beside garden with lake,1552056,Maria Simone,Lisboa,Arroios,38.72187,-9.13853,Entire home/apt,59,1,118,01/01/2021,1.15,7,365
304025,In Lisboa center - small and cozy - 4th floor,682628,Paulo Eduardo,Lisboa,Misericrdia,38.71308,-9.14514,Entire home/apt,56,2,19,02/01/2020,0.19,8,97
304902,Apartamento BAIRRO ALTO 2-2º,136230,David,Lisboa,Misericrdia,38.70914,-9.14949,Entire home/apt,60,1,118,29/09/2019,1.09,11,258
306191,"Bairro Alto Cute Apartment, Central",1574678,Tiago,Lisboa,Misericrdia,38.71365,-9.14406,Entire home/apt,33,3,404,01/01/2021,3.76,1,336
307666,Confortable & contemporary - Expo,1582924,Jorge,Lisboa,Parque das Naes,38.7795,-9.09669,Entire home/apt,80,2,10,17/05/2019,0.1,1,0
307683,"Alfama,Lisbon--Window of the World",727771,Susana,Lisboa,Santa Maria Maior,38.71143,-9.12778,Entire home/apt,41,3,289,19/07/2020,2.64,9,365
308287,Hera Design Lisbon Apartment - Big Terrace,1496930,Rita,Lisboa,Misericrdia,38.71163,-9.14715,Entire home/apt,95,2,128,15/03/2020,1.21,2,197
311031,Central Alfama - Sé de Lisboa III,1599678,Patrícia,Lisboa,Santa Maria Maior,38.71273,-9.12723,Entire home/apt,90,3,0,,,3,364
311040,até 4 p Alfama - Sé de Lisboa I,1599678,Patrícia,Lisboa,Santa Maria Maior,38.71246,-9.12891,Entire home/apt,85,3,1,10/04/2017,0.02,3,365
311047,Central - Alfama - Sé de Lisboa II,1599678,Patrícia,Lisboa,Santa Maria Maior,38.71211,-9.12819,Entire home/apt,57,2,3,19/06/2016,0.04,3,364
312025,Galery Room - Quarto Galeria,700998,Iolanda,Lisboa,So Vicente,38.71666,-9.11983,Private room,40,2,0,,,1,365
320603,Luxury flat with astonishing views,1416183,Fadoflats,Lisboa,Santa Maria Maior,38.71293,-9.14228,Entire home/apt,135,2,20,28/01/2020,0.19,15,180
321426,Lovely flat in the city center,989287,Conceição,Lisboa,Penha de Frana,38.73053,-9.13283,Entire home/apt,100,5,10,26/04/2019,0.13,1,364
322250,THE LEMON HOUSE 5min fromtheocean,1650383,Simona,Cascais,Cascais e Estoril,38.70492,-9.39986,Entire home/apt,75,2,101,04/09/2020,1.21,2,98
