id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
31532900,50%Off✈24h Self Check-In* Apt Town Center,151352873,Liu-Qi,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14385,-8.61725,Entire home/apt,39,2,11,25/08/2020,0.47,7,0
31537882,Douro Vintage Suite,72089785,Magda,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15371,-8.61045,Entire home/apt,50,1,3,07/06/2019,0.12,2,0
31552048,Alma Invicta Alegria,124472632,João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14915,-8.60471,Entire home/apt,110,2,14,26/02/2020,0.56,11,365
31552595,DOMINÓ ANGEIRAS,236489979,Parque Orbitur Angeiras,MATOSINHOS,"Perafita, Lavra e Santa Cruz do Bispo",41.26497,-8.72508,Entire home/apt,32,1,3,12/06/2019,0.14,5,321
31556958,PANDORA ANGEIRAS,236489979,Parque Orbitur Angeiras,MATOSINHOS,"Perafita, Lavra e Santa Cruz do Bispo",41.26494,-8.72517,Entire home/apt,33,1,16,12/10/2020,0.73,5,321
31557783,Blue studio,160501412,Joao,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1528,-8.60751,Entire home/apt,45,2,4,27/10/2019,0.2,7,0
31559087,Oporto Art Studio with Patio.,39241118,Jorge,PORTO,Bonfim,41.14823,-8.59596,Entire home/apt,79,2,5,29/08/2019,0.24,3,44
31569363,Casa Sá Noronha Old Town - Charm,88983460,First House,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1495,-8.61574,Private room,39,2,25,23/08/2020,1.07,6,363
31579711,Happy Village,236720839,Carlos,PORTO,Paranhos,41.18145,-8.61325,Entire home/apt,50,2,9,19/08/2020,0.46,5,194
31586957,Downtown Cellars Apartment | Historic Center,183551965,Y7,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.1366,-8.61361,Entire home/apt,54,1,15,03/01/2020,0.67,4,0
31594122,"OPO PORTO, MATOSINHOS, HISTORIA, PRAIA E LAZER",236833896,Irani,MATOSINHOS,Matosinhos e Leça da Palmeira,41.17926,-8.68506,Entire home/apt,70,3,1,19/01/2020,0.08,1,243
31605783,São Domingos Apartment,280564100,LovelyStay,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14389,-8.6146,Entire home/apt,36,2,112,18/01/2021,4.67,104,257
31606907,PANDORA CANIDELO,236939810,Parque Orbitur Canidelo,VILA NOVA DE GAIA,Canidelo,41.12355,-8.66531,Entire home/apt,36,1,1,08/09/2019,0.06,1,321
31613542,Modern Apt - 5 mins to 24 de Agosto Station,218388587,GuestReady,PORTO,Bonfim,41.14713,-8.60168,Entire home/apt,36,1,16,03/01/2020,0.72,5,228
